35;-2;-5.4892178;-2;-3;-9;-5;-2.2815514;-21.798508;0;-1
37;-1;-5.9660273;-2;-4;-10;-5.5;-2.4712553;-17.35522;-0.000015258789;-1
39;0;-7.76289;-2;-4;-10;-5;-3.3325803;-12.775799;0;-1
41;2;-8.117561;-1;-3;-12;-4.5;-3.4248798;-12.649113;0;-1
4;0;0;0;0;0;0;0.0000019073486;0;0;1
3;-1;-13.315659;-1;0;0;-5.666662;-14.0414505;-6.3245554;0;0
5;-1;-14.513588;-1;0;0;-4.9999943;-20.453568;-7.4049177;0;0
7;-1;-6.588516;-1;0;0;-2.5;-19.620888;-14.4759865;-0.0000076293945;0
9;-3;-1.7968674;0;2;0;0.5;-0.14318085;-1.2065926;0;0
11;-2;-1.8404083;0;2;0;-0.7500038;5.6222267;-8.642475;-0.0000076293945;0
13;-2;4.100376;0;9;-2;1.3333321;8.333046;-1.1248474;0;0
15;-2;0.19480896;0;3;-2;0.16666412;-0.12382507;-5.835064;-0.0000076293945;0
17;-2;-2.7583694;0;5;-10;-1.5000038;3.2015228;-5.1435738;0;0
19;-2;0.08441925;0;2;-6;-1.0000019;-0.9870529;2.368126;0;0
21;-2;-0.41713333;0;4;-7;0.66666794;0.3754406;2.759121;0;0
23;-2;2.3333511;0;4;-5;1.6666679;1.1935749;2.0969353;-0.0000076293945;0
25;-2;3.885933;0;5;-3;2.666668;1.8600912;3.5776672;-0.0000076293945;0
27;-3;6.6364136;1;6;-1;3.666668;3.1008239;2.6991043;0;0
29;-3;5.8854837;2;5;3;3.9999995;2.6450386;5.5665855;0;0
31;-3;2.5607805;2;3;1;2.1666665;1.168787;-0.43832016;0;0
33;-3;3.758689;2;3;1;2.1666665;1.7430038;1.7280693;-0.0000076293945;0
35;-4;4.9020185;2;3;4;2.5;2.1943567;4.5392456;0;0
37;-3;3.2272978;1;2;3;2;1.4304366;-9.54081;0;0
39;-3;3.2272987;1;2;3;2;1.4304364;-11.074413;0.0000076293945;0
41;-4;4.9020185;2;3;4;2.5;2.1943567;-1.8930435;0;0
43;-5;5.3788304;2;2;5;2;2.3840606;-2.125702;0.0000076293945;0
45;-5;5.3788304;1;2;5;2;2.3840606;9.041649;0;0
47;-4;4.3030643;1;2;4;2;1.9072485;7.5427094;0;0
48;-2;2.1515322;1;1;2;1;0.95362425;11.267437;0;0
3;-1;-15.399643;-1;0;0;-5.1666584;-18.953342;-5.8309517;0;-1
5;-1;-6.5884933;-1;0;0;-2.5;-17.52246;-9.830952;0;-1
7;-1;-7.7864;-1;0;0;-2.5;-18.264744;-21.296412;0;-1
9;-2;-5.432625;0;1;0;-1.566658;-1.5371017;-5.1774597;0;-1
11;-2;-0.71523285;0;1;0;0.43333244;-0.79904556;-5.9422035;0.0000076293945;-1
13;-2;-4.308956;0;2;0;-1.0666676;0.3243332;-6.720234;0.0000076293945;-1
15;-2;-4.5866165;0;2;2;1.1833324;-3.29813;-9.543716;0;-1
17;-2;0.011428833;0;1;14;3.6833344;-1.7096596;-4.9782944;0;-1
19;-3;-5.86734;0;-1;-7;0.33333206;-0.55490685;-6.8689384;-0.000015258789;-1
21;-2;5.4633026;0;5;-7;2.166668;5.2235155;-15.741566;0.0000076293945;-1
23;-5;12.134375;0;6;1;3.3666677;7.0561953;-10.672958;0.0000076293945;-1
25;-5;7.3909073;0;3;-2;1.25;5.0269394;-8.633793;-0.0000076293945;-1
27;-5;8.466675;0;4;-1;2.2499995;5.503751;-1.8325005;0;-1
29;-7;13.845505;1;6;4;4.25;7.887811;-6.108795;-0.0000076293945;-1
31;-7;11.77097;1;6;6;4;7.002516;-6.1281967;0;-1
33;-7;9.449368;1;4;6;3;4.2964134;-4.3209076;0;-1
35;-4;5.6231136;0;3;3;2.5;2.5788689;-8.082222;-0.000015258789;-1
37;-3;1.5525789;0;1;2;1.5;0.6665158;-9.0903015;-0.0000076293945;-1
39;-3;3.9483938;0;3;2;2.5;1.8149488;-0.11980438;0;-1
41;-4;3.2272978;1;2;3;2;1.4304364;4.387882;0;-1
43;-5;4.3030643;1;2;4;2;1.9072485;1.5372162;0;-1
45;-5;4.3030643;0;2;4;2;1.9072485;1.5999908;0;-1
